county,state,poverty_rate,unemployment_rate,no_hs_diploma,poverty_percentile,unemployment_percentile,education_percentile,SES_composite,SES_quartile,high_vulnerability
County_0,TX,10.6,5.5,10.0,0.6806174411203055,0.6744112030553787,0.5910248249522597,0.6486844897093147,Q3,0
County_1,NJ,7.5,3.9,9.5,0.4619669000636537,0.3771483131763208,0.5264162953532782,0.4551771695310842,Q2,0
County_2,SD,12.5,4.1,13.1,0.7862826225334182,0.41263526416295354,0.8838319541693189,0.6942499469552302,Q3,0
County_3,IL,4.8,0.9,6.5,0.23424570337364736,0.027530235518777847,0.18125397835773394,0.14767663908338638,Q1_LeastVulnerable,0
County_4,FL,16.5,6.9,15.9,0.9334818586887333,0.8590070019096118,0.9793125397835774,0.9239338001273074,Q4_MostVulnerable,1
County_5,LA,3.3,4.5,8.5,0.12842138765117758,0.49267982176957353,0.39942711648631446,0.3401761086356885,Q2,0
County_6,NC,15.3,7.5,13.7,0.897040101845958,0.9127943984723106,0.9143857415658816,0.9080734139613833,Q4_MostVulnerable,1
County_7,CT,5.3,3.7,8.0,0.27641629535327816,0.3392743475493316,0.343093570973902,0.31959473795883725,Q2,0
County_8,NC,5.9,4.5,8.6,0.32511139401655,0.49267982176957353,0.41215786123488224,0.40998302567366857,Q2,0
County_9,KY,11.3,5.3,13.0,0.7232654360280076,0.6411521323997453,0.8779439847231063,0.7474538510502864,Q4_MostVulnerable,1
County_10,SC,16.3,4.7,15.6,0.9269573520050923,0.5316677275620624,0.9734245703373647,0.8106832166348399,Q4_MostVulnerable,1
County_11,AR,2.5,0.6,8.9,0.07829408020369191,0.018141311266709103,0.45019096117122853,0.1822087842138765,Q1_LeastVulnerable,0
County_12,NC,10.7,4.9,10.5,0.6853914704010184,0.5724061107574793,0.6451304901336729,0.6343093570973902,Q3,0
County_13,NY,8.2,4.2,10.2,0.5181413112667091,0.4328453214513049,0.6120305537873966,0.5210057288351368,Q3,0
County_14,VA,4.0,4.5,9.7,0.17457033736473584,0.49267982176957353,0.5517186505410566,0.40632293655845536,Q2,0
County_15,OH,10.6,6.3,9.1,0.6806174411203055,0.7969446212603437,0.47374283895607894,0.6504349671122428,Q3,0
County_16,SC,4.0,4.1,6.4,0.17457033736473584,0.41263526416295354,0.1717059197963081,0.2529705071079992,Q1_LeastVulnerable,0
County_17,TX,9.8,4.5,9.9,0.6295353278166773,0.49267982176957353,0.5786123488224061,0.5669424994695523,Q3,0
County_18,NC,5.0,1.4,9.3,0.24920432845321452,0.055856142584341184,0.4990451941438574,0.26803522172713773,Q1_LeastVulnerable,0
County_19,IL,6.2,4.5,9.9,0.3475493316359007,0.49267982176957353,0.5786123488224061,0.4729471674092934,Q2,0
County_20,TX,7.9,5.2,8.5,0.4949077021005729,0.6247612985359644,0.39942711648631446,0.5063653723742839,Q3,0
County_21,OR,11.7,1.9,7.8,0.7458625079567155,0.09245703373647358,0.31954169318905157,0.3859537449607469,Q2,0
County_22,LA,4.6,2.1,7.8,0.22135582431572248,0.11171228516868237,0.31954169318905157,0.21753660089115212,Q1_LeastVulnerable,0
