individual_id,ancestry,ses_score,ses_quartile,high_vulnerability
IND_00000,EUR,0.15784085149944235,Q1_LowestVuln,0
IND_00001,AMR,0.6826353313674164,Q3_MedVuln,0
IND_00002,SAS,0.48918534682474357,Q2_LowVuln,0
IND_00003,EAS,0.13323762617821636,Q1_LowestVuln,0
IND_00004,EUR,0.6572043256591775,Q3_MedVuln,0
IND_00005,EAS,0.2705978714913083,Q2_LowVuln,0
IND_00006,AFR,0.3592476326692622,Q2_LowVuln,0
IND_00007,EUR,0.5619785881285826,Q3_MedVuln,0
IND_00008,AFR,0.2366127986233139,Q1_LowestVuln,0
IND_00009,AFR,0.6816419560649146,Q3_MedVuln,0
IND_00010,AFR,0.7949288862158117,Q4_HighestVuln,1
IND_00011,EUR,0.7546010709426965,Q4_HighestVuln,1
IND_00012,AFR,0.5467908554487081,Q3_MedVuln,0
IND_00013,AFR,0.5388995996145717,Q3_MedVuln,0
IND_00014,EUR,0.41375287273430084,Q2_LowVuln,0
IND_00015,EAS,0.25249283616527607,Q2_LowVuln,0
IND_00016,SAS,0.6578227725215634,Q3_MedVuln,0
IND_00017,EUR,0.4466059122572962,Q2_LowVuln,0
IND_00018,AMR,0.8301741495060849,Q4_HighestVuln,1
IND_00019,AFR,0.5854433454943163,Q3_MedVuln,0
IND_00020,EAS,0.3860745470348627,Q2_LowVuln,0
IND_00021,EAS,0.29685330414082756,Q2_LowVuln,0
IND_00022,SAS,0.04813185210798318,Q1_LowestVuln,0
IND_00023,EUR,0.3025117856919123,Q2_LowVuln,0
IND_00024,EUR,0.6833981516718347,Q3_MedVuln,0
IND_00025,AFR,0.2748581090065901,Q2_LowVuln,0
IND_00026,AMR,0.6085722216538024,Q3_MedVuln,0
IND_00027,AFR,0.6380083898135049,Q3_MedVuln,0
IND_00028,EUR,0.427574287528859,Q2_LowVuln,0
IND_00029,SAS,0.4133124737974279,Q2_LowVuln,0
IND_00030,SAS,0.5659692363215437,Q3_MedVuln,0
IND_00031,AFR,0.23805119434513483,Q1_LowestVuln,0
IND_00032,EUR,0.25303765448044974,Q2_LowVuln,0
IND_00033,EAS,0.1006812023256057,Q1_LowestVuln,0
IND_00034,AMR,0.20126358659827376,Q1_LowestVuln,0
IND_00035,AMR,0.5896647597642701,Q3_MedVuln,0
IND_00036,AFR,0.5029688499635123,Q3_MedVuln,0
IND_00037,EAS,0.6065124149754494,Q3_MedVuln,0
IND_00038,SAS,0.5812062659659668,Q3_MedVuln,0
IND_00039,SAS,0.3635723139373073,Q2_LowVuln,0
IND_00040,EUR,0.5729339036295289,Q3_MedVuln,0
IND_00041,EAS,0.11844279281886627,Q1_LowestVuln,0
IND_00042,EUR,0.4128007162320117,Q2_LowVuln,0
IND_00043,AMR,0.45570372472501475,Q2_LowVuln,0
IND_00044,EUR,0.21680638757268508,Q1_LowestVuln,0
IND_00045,EUR,0.6391433783830215,Q3_MedVuln,0
IND_00046,EAS,0.5609887919774049,Q3_MedVuln,0
IND_00047,EAS,0.3705023440680356,Q2_LowVuln,0
IND_00048,EUR,0.6352315822757852,Q3_MedVuln,0
IND_00049,AMR,0.5273007205923933,Q3_MedVuln,0
IND_00050,EUR,0.47426488152186314,Q2_LowVuln,0
IND_00051,EAS,0.16623665172098528,Q1_LowestVuln,0
IND_00052,AFR,0.5146507681467724,Q3_MedVuln,0
IND_00053,SAS,0.575870207503468,Q3_MedVuln,0
IND_00054,EAS,0.26048095042556646,Q2_LowVuln,0
IND_00055,EAS,0.6334631211307831,Q3_MedVuln,0
IND_00056,AFR,0.8345193897387838,Q4_HighestVuln,1
IND_00057,AFR,0.5546007923645141,Q3_MedVuln,0
IND_00058,EUR,0.40270006694571114,Q2_LowVuln,0
IND_00059,EUR,0.47636570315145965,Q2_LowVuln,0
IND_00060,AFR,0.5477844277014775,Q3_MedVuln,0
IND_00061,EAS,0.7050993763579887,Q3_MedVuln,0
IND_00062,EAS,0.1740886979887981,Q1_LowestVuln,0
IND_00063,EAS,0.45423841603099413,Q2_LowVuln,0
IND_00064,EAS,0.376582093569171,Q2_LowVuln,0
IND_00065,EUR,0.18873887753816063,Q1_LowestVuln,0
IND_00066,EUR,0.2695019475620189,Q2_LowVuln,0
IND_00067,AFR,0.3753047604439275,Q2_LowVuln,0
IND_00068,EAS,0.3685770406917377,Q2_LowVuln,0
IND_00069,AFR,0.6122716893447836,Q3_MedVuln,0
IND_00070,EUR,0.15741528778400207,Q1_LowestVuln,0
IND_00071,EUR,0.41306797127409,Q2_LowVuln,0
IND_00072,EAS,0.19206271100827363,Q1_LowestVuln,0
IND_00073,AFR,0.6823870511012754,Q3_MedVuln,0
IND_00074,EAS,0.11438213364147631,Q1_LowestVuln,0
IND_00075,SAS,0.49937144058165,Q2_LowVuln,0
IND_00076,AFR,0.08882837788127874,Q1_LowestVuln,0
IND_00077,AFR,0.7657883118190935,Q4_HighestVuln,1
IND_00078,AFR,0.5095784469729698,Q3_MedVuln,0
IND_00079,AFR,0.6843188910704234,Q3_MedVuln,0
IND_00080,AMR,0.2952468188457385,Q2_LowVuln,0
IND_00081,EAS,0.557169109604366,Q3_MedVuln,0
IND_00082,AFR,0.5143967100490735,Q3_MedVuln,0
IND_00083,EAS,0.2871750300827296,Q2_LowVuln,0
IND_00084,EUR,0.2657469039000923,Q2_LowVuln,0
IND_00085,AMR,0.6443849413983378,Q3_MedVuln,0
IND_00086,AMR,0.788414171213187,Q4_HighestVuln,1
IND_00087,EAS,0.5072904495612668,Q3_MedVuln,0
IND_00088,AMR,0.4321383322952963,Q2_LowVuln,0
IND_00089,AFR,0.3105911799328172,Q2_LowVuln,0
IND_00090,AMR,0.2169721658764111,Q1_LowestVuln,0
IND_00091,AFR,0.1633241600382669,Q1_LowestVuln,0
IND_00092,AFR,0.657363265672175,Q3_MedVuln,0
IND_00093,AFR,0.7845018202433167,Q4_HighestVuln,1
IND_00094,EUR,0.5516175087475621,Q3_MedVuln,0
IND_00095,AMR,0.7350232193500094,Q3_MedVuln,0
IND_00096,AFR,0.8944464288926012,Q4_HighestVuln,1
IND_00097,EAS,0.43084919139207434,Q2_LowVuln,0
IND_00098,SAS,0.33838831468899344,Q2_LowVuln,0
IND_00099,AMR,0.6551668187855372,Q3_MedVuln,0
IND_00100,AFR,0.9519289226260542,Q4_HighestVuln,1
IND_00101,AMR,0.5650636145954243,Q3_MedVuln,0
IND_00102,EAS,0.40032153999415265,Q2_LowVuln,0
IND_00103,EUR,0.850130751403948,Q4_HighestVuln,1
IND_00104,AFR,0.8051165231475517,Q4_HighestVuln,1
IND_00105,AMR,0.8369694102971482,Q4_HighestVuln,1
IND_00106,AFR,0.8135278636354328,Q4_HighestVuln,1
IND_00107,AFR,0.6386009247226243,Q3_MedVuln,0
IND_00108,SAS,0.21754680385935948,Q1_LowestVuln,0
IND_00109,AMR,0.7716870742652204,Q4_HighestVuln,1
IND_00110,SAS,0.5604374807796828,Q3_MedVuln,0
IND_00111,EAS,0.0770808517106024,Q1_LowestVuln,0
IND_00112,AFR,0.5723388850946551,Q3_MedVuln,0
IND_00113,AFR,0.9320476508198033,Q4_HighestVuln,1
IND_00114,EUR,0.602536770523722,Q3_MedVuln,0
IND_00115,AFR,0.2602024713526174,Q2_LowVuln,0
IND_00116,EAS,0.2610959926802546,Q2_LowVuln,0
IND_00117,EUR,0.693960612449959,Q3_MedVuln,0
IND_00118,EAS,0.14040635673652893,Q1_LowestVuln,0
IND_00119,AFR,0.7500264328488789,Q4_HighestVuln,1
IND_00120,EUR,0.21999611325580157,Q1_LowestVuln,0
IND_00121,EUR,0.2003733027083216,Q1_LowestVuln,0
IND_00122,AMR,0.6148380090114938,Q3_MedVuln,0
IND_00123,AFR,0.8634317060274472,Q4_HighestVuln,1
IND_00124,AFR,0.22969541915087405,Q1_LowestVuln,0
IND_00125,EAS,0.2588887509502481,Q2_LowVuln,0
IND_00126,AFR,0.38674658839817305,Q2_LowVuln,0
IND_00127,EAS,0.048007519985348114,Q1_LowestVuln,0
IND_00128,SAS,0.5132526120588531,Q3_MedVuln,0
IND_00129,SAS,0.6308497595141652,Q3_MedVuln,0
IND_00130,AFR,0.6286114016753342,Q3_MedVuln,0
IND_00131,EAS,0.5854610430077052,Q3_MedVuln,0
IND_00132,EUR,0.6849295010662309,Q3_MedVuln,0
IND_00133,EAS,0.4776087068179612,Q2_LowVuln,0
IND_00134,AMR,0.4153223537076372,Q2_LowVuln,0
IND_00135,EUR,0.5117737913339039,Q3_MedVuln,0
